,time (min),FL1.mean,strain,strain_name,treatment
21,1595.419833,8154.160858,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
22,1709.9963329999998,8185.642962000001,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
23,1771.049333,8335.083973,6325,"pMOD6-pGRR-W10-yeGFP, pMOD-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD8-pGALZ4-URGR-W8",100
0,1.0,11798.93862,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
1,47.126000000000005,12668.83655,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
2,108.81716670000002,13513.991080000002,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
3,165.3201667,13870.947709999999,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
4,226.3221667,15025.10269,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
5,285.0685,14709.306190000001,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
6,342.6601667,14187.10962,6326,"pMOD6-pGRR-W10-yeGFP, pMOD4-dcas9-mxi1,pMOD-HOKan-pACT1-ZEV4,pMOD8-pGALZ4-URGR-W5,pMOD-LTR1-NatMX-pGRR-W8-RGR-W10,pMOD6-pGRR-W5-RGR-W8",100
